layer,state_hex,evidence_addresses,count
control,B0_ENTRY_CLAMP,0x7aa0|0x7ac6|0x7ace|0x7ad4,4
control,B1_CLAMP_HIGH_CHECK,0x7ba0|0x7ba4|0x7baa,3
control,B2_PROFILE_GATE,0x7ad9|0x7adf|0x7ae3|0x7aeb,4
control,B3_PROFILE_CFG_GATE,0x7bf0|0x7bf8|0x7bff|0x7c05,4
control,B4_GATE_LOAD,0x7af1|0x7af9|0x7b01,3
control,B5_SIGN_GATE,0x7b07|0x7b0a,2
control,B6_CFG0_POSITIVE_PATH,0x7b10|0x7b1c|0x7b27|0x7b2d|0x7b33,5
control,B8_CFG1_CODEC_PATH,0x7bb6|0x7bc0|0x7bc8|0x7bd1|0x7bd7|0x7be4,6
control,B9_LOG_AND_RETURN,0x7b39|0x7b62|0x7b82|0x7b9c,4
param,clamp_and_gates,0x7ac6|0x7ba0|0x7ae3|0x7af9|0x7bf8,5
param,policy_outputs,0x7b1c|0x7bc0|0x7b27|0x7b2d|0x7b33|0x7bd1|0x7bd7|0x7be4,8
call,diagnostic_logging,0x7b62|0x7b82,2
