plane,from_state,via_target,to_state,evidence_addr,confidence,notes,source
control,START,entry,B0_ALLOCATE,0x73e20,H,function entry,V8Create_state_graph_edges.csv
control,B0_ALLOCATE,ok,B1_COPY_CONFIG,0x73e3f,H,alloc ok,V8Create_state_graph_edges.csv
control,B0_ALLOCATE,fail,B4_RETURN,0x73ed2,H,alloc fail,V8Create_state_graph_edges.csv
control,B1_COPY_CONFIG,fallthrough,B2_VERBOSE_DUMP,0x73ee0,H,copy done,V8Create_state_graph_edges.csv
control,B2_VERBOSE_DUMP,fallthrough,B3_INIT_HANDSHAKE,0x73ead,H,log path,V8Create_state_graph_edges.csv
control,B3_INIT_HANDSHAKE,fallthrough,B4_RETURN,0x73ed2,H,init done,V8Create_state_graph_edges.csv
control,B4_RETURN,ret,RET,0x74283,H,return,V8Create_state_graph_edges.csv
call,B0_ALLOCATE,write,sysdep_malloc,0x73e30,H,allocation,V8Create_state_graph_param_edges.csv
param,ctx+0xa44_0xa58,write,config_copy,0x73e3f|0x73e77,H,cfg words,V8Create_state_graph_param_edges.csv
call,B3_INIT_HANDSHAKE,write,v8handshakinit,0x73ebc,H,bootstrap,V8Create_state_graph_param_edges.csv
param,ctx+0xa42_0xdba_0xeb8,write,mode_and_counters,0x73eb2|0x73ecc,H,init values,V8Create_state_graph_param_edges.csv
return,B4_RETURN,write,eax_ctx_ptr,0x74283,H,return pointer,V8Create_state_graph_param_edges.csv
