caller,callee,arg_index,source,notes
V90Modem::C2,dsplibs_debug_printf,0,.rodata.str1.4+0x42b0,"V90Modem Construction (as %s Modem)"
V90Modem::C2,dsplibs_debug_printf,1,(side==0)?"Digital":"Analog",mode label
V90Modem::C2,V90Modem::printTitle,0,this,always called
V90Modem::C2,V90Parameters::V90Parameters,1,modemParams,arg3
V90Modem::C2,V90Phase2Info::V90Phase2Info,1,this->params,parent params
V90Modem::C2,V90Jd::V90Jd,1,this->params,parent params
V90Modem::C2,V92Jd::V92Jd,1,this->params,parent params
V90Modem::C2,V90Modulator::V90Modulator,1,arg5,runtime mode/codec arg
V90Modem::C2,V90Modulator::V90Modulator,11,this->params,shared
V90Modem::C2,V90Modulator::V90Modulator,12,this->sessionFlag(this+0x49b8),shared
V90Modem::C2,V90Demodulator::V90Demodulator,1,arg5,runtime mode/codec arg
V90Modem::C2,V90Demodulator::V90Demodulator,11,modemParams+0x54,hardware codec type
V90Modem::C2,V90Demodulator::V90Demodulator,12,this->params,shared
V90Modem::C2,V90Demodulator::V90Demodulator,13,arg6,V90ComputationalMode
V90Modem::C2,V90Demodulator::V90Demodulator,14,this->sessionFlag(this+0x49b8),shared
V90Modem::C2,dsplibs_debug_printf,0,.rodata.str1.4+0x42d8,illegal modem side
