plane,node,edge_to,condition,action,details
C,ENTRY,DEBUG_LOG_RESET,debug_level>1,call,"debug_printf(reset,qcFlag)"
C,ENTRY,PRINT_TITLE,debug_level<=1,branch,
C,DEBUG_LOG_RESET,PRINT_TITLE,always,flow,
A,PRINT_TITLE,READ_SIDE,always,call,"V90Modem::printTitle"
A,READ_SIDE,SIDE_MOD_RESET,side==0,branch,
A,READ_SIDE,SIDE_DEM_GATE,side==1,branch,
A,READ_SIDE,SIDE_ILLEGAL,else,branch,
A,SIDE_MOD_RESET,RETURN,always,tailcall,"V90Modulator::reset"
B,SIDE_DEM_GATE,MASK_QC,probe_gate!=0,branch,"force qcFlag=0"
B,SIDE_DEM_GATE,SET_DIL,probe_gate==0,branch,
C,MASK_QC,SET_DIL,always,call,"edprintf(masked quick connect)"
B,SET_DIL,SIDE_DEM_RESET,always,call,"setDilDescriptor(dilType)"
A,SIDE_DEM_RESET,RETURN,always,tailcall,"V90Demodulator::reset(qcFlag)"
C,SIDE_ILLEGAL,RETURN,debug_level>1,tailcall,"debug_printf(illegal modemSide)"
C,SIDE_ILLEGAL,RETURN,debug_level<=1,return,
