from,to,condition,kind,target
ENTRY,MAIN,always,flow,
MAIN,MAIN,call,call,V34XF_IndicateDilReceived
MAIN,MAIN,call,call,V34XF_IndicateJdReceived
MAIN,MAIN,call,call,V34XF_IndicateTrn2dReceived
MAIN,MAIN,call,call,VPcmV34IndicateLocalRRN
MAIN,MAIN,call,call,VPcmV34IndicateRemoteRRN
MAIN,MAIN,call,call,VPcmV34LogTimingOffset
MAIN,MAIN,call,call,VPcmV34SetIndicationOfRemoteRetrain
MAIN,MAIN,call,call,VPcmV34SetV90RateReneg
MAIN,MAIN,call,call,_Z11V90CPPackerP16V90MappingParamsP22tagV90AdditionalCPinfoPsi
MAIN,MAIN,call,call,_ZN5V90Jd19getConstelationSizeEPhS0_
MAIN,MAIN,call,call,_ZN8V90Modem8progressEPiRjPfj
MAIN,MAIN,call,call,_ZNK14V90Demodulator23indicateRemoteRateRenegEv
MAIN,MAIN,call,call,_ZNK21ResamplerTimingOffset18getTimingOffsetPPMEv
MAIN,MAIN,call,call,dsplibs_debug_printf
MAIN,MAIN,call,call,edprintf
MAIN,RETURN,always,return,
