layer,state_hex,evidence_addresses,count
control,C0_ENTRY_DEBUG,0xaa70|0xaac1|0xb137,3
control,C1_ZERO_AND_RESTORE,0xaac7|0xaada|0xaaf9|0xab15,4
control,C2_BASE_INIT,0xab1b|0xab39|0xac18,3
control,C3_SESSION_DISPATCH,0xac18|0xac45|0xac61|0xac67,4
control,C4_SESSION2_PATH,0xafc6|0xafe0|0xb063|0xb382,4
control,C5_SESSION1_PATH,0xb0a0|0xb0d3,2
control,C6_SESSION34_PATH,0xb320|0xb351|0xb35a,3
control,C7_ROLE_SELECT,0xac76|0xb090,2
control,C8_COMMON_ROLE_INIT,0xac87|0xad37|0xad6d,3
control,C9_PROFILE_SELECT,0xad8d|0xb263|0xb280,3
control,C10_RATE_SETUP,0xae31|0xaee1|0xaf05,3
control,C11_BACKEND_RATE_PROP,0xae68|0xb2c8|0xb300,3
control,C12_ECHO_AND_MODE,0xaf55|0xaf69|0xaf9e|0xb242|0xb290,5
control,C14_RET0,0xafbc|0xb113,2
param,core_ptrs,0xaaf9|0xab0f|0xab15,3
param,phase_and_role,0xac3f|0xac45|0xac87|0xb090,4
param,rate_and_delay,0xaf2b|0xaf45|0xb2ec|0xb318,4
param,mode_flags,0xaf97|0xb257|0xb299,3
call,initializers,0xaada|0xaaf5|0xab1f|0xad37,4
call,session_calls,0xafe0|0xb0d3|0xb351|0xb3a8,4
call,dsp_backend_calls,0xaf69|0xafab|0xb2ec|0xb318,4
call,debug_calls,0xb10f|0xb12e|0xb147|0xb33e,4
