from,to,condition,kind,target
ENTRY,RET,selector_gt_8,return,0
ENTRY,SEL_0,selector_eq_0,branch,
ENTRY,SEL_1,selector_eq_1,branch,
ENTRY,SEL_2,selector_eq_2,branch,
ENTRY,SEL_3,selector_eq_3,branch,
ENTRY,SEL_4,selector_eq_4,branch,
ENTRY,SEL_5,selector_eq_5,branch,
ENTRY,SEL_6,selector_eq_6,branch,
ENTRY,SEL_7,selector_eq_7,branch,
ENTRY,SEL_8,selector_eq_8,branch,
SEL_0,RET,done,return,count
SEL_1,RET,done,return,count
SEL_2,RET,done,return,count
SEL_3,RET,done,return,count
SEL_4,RET,done,return,count
SEL_5,RET,done,return,count
SEL_6,RET,done,return,count
SEL_7,RET,done,return,count
SEL_8,RET,done,return,count
