layer,state_hex,evidence_addresses,count
control,R0_ENTRY_STATE_GATE,0x6530|0x6547|0x655c,3
control,R1_LIVE_DEMOD_FORWARD,0x655e|0x656a|0x657f,3
control,R2_REQ_DISPATCH,0x6580|0x6583|0x658e|0x6597|0x6617,5
control,R3_DEC_TARGET,0x6600|0x6607|0x660d,3
control,R4_INC_TARGET,0x661e|0x6625|0x662b|0x6631,4
control,R5_SET_NEG1,0x6599|0x659e,2
control,R6_STORE_TARGET,0x660f|0x6615,2
control,R7_COMMON_REINIT,0x65a4|0x65b0|0x65ff,3
param,target_window_fields,0x6600|0x6607|0x661e|0x6625|0x660f,5
param,post_reinit_fields,0x65b5|0x65bf|0x65db|0x65e1,4
call,reinit_call,0x65b0,1
