plane,from_state,via_target,to_state,evidence_addr,confidence,notes,source
control,START,entry,R0_ENTRY_STATE_GATE,0x6530,H,function entry,VPcmV34InitiateRateRenegotiation_state_graph_edges.csv
control,R0_ENTRY_STATE_GATE,state_in_1_2,R1_LIVE_DEMOD_FORWARD,0x655c,H,direct demod update path,VPcmV34InitiateRateRenegotiation_state_graph_edges.csv
control,R2_REQ_DISPATCH,req_eq_2_or_5,R3_DEC_TARGET,0x6583|0x6597,H,decrement request handling,VPcmV34InitiateRateRenegotiation_state_graph_edges.csv
control,R2_REQ_DISPATCH,req_eq_3,R4_INC_TARGET,0x658e,H,increment request handling,VPcmV34InitiateRateRenegotiation_state_graph_edges.csv
control,R2_REQ_DISPATCH,req_other,R5_SET_NEG1,0x6599,H,sentinel target path,VPcmV34InitiateRateRenegotiation_state_graph_edges.csv
control,R3_DEC_TARGET,cand_in_bound,R6_STORE_TARGET,0x660d|0x660f,H,store decremented candidate,VPcmV34InitiateRateRenegotiation_state_graph_edges.csv
control,R4_INC_TARGET,cand_in_bound,R6_STORE_TARGET,0x662b|0x6631|0x660f,H,store incremented candidate,VPcmV34InitiateRateRenegotiation_state_graph_edges.csv
control,R6_STORE_TARGET,fallthrough,R7_COMMON_REINIT,0x6615|0x65a4,H,common re-init entry,VPcmV34InitiateRateRenegotiation_state_graph_edges.csv
param,ctx+0x22c,write,target_selector,0x659e|0x660f,H,target index/sentinel chosen for renegotiation,VPcmV34InitiateRateRenegotiation_state_graph_param_edges.csv
call,R7_COMMON_REINIT,v34handshakinit,reneg_reinit,0x65b0,H,reset handshake with init mode 2,VPcmV34InitiateRateRenegotiation_state_graph_param_edges.csv
param,ctx+0x4/0x2218/0xac0e,write,post_reinit_state,0x65b5|0x65db|0x65e1,H,state/reason/counter updates,VPcmV34InitiateRateRenegotiation_state_graph_param_edges.csv
