table_id,dispatch_site,text_addr,selector,table_rodata_off,index,target_addr,notes
JT0_MAIN_STATE,b4f4,0x0000b4f4,*(ctx+0x0) if <=10,0x02d4,0,0x0000bce2,primary data-path loop
JT0_MAIN_STATE,b4f4,0x0000b4f4,*(ctx+0x0) if <=10,0x02d4,1,0x0000bc40,runPcm result handling path
JT0_MAIN_STATE,b4f4,0x0000b4f4,*(ctx+0x0) if <=10,0x02d4,2,0x0000bbe1,v90 flo modem entry path
JT0_MAIN_STATE,b4f4,0x0000b4f4,*(ctx+0x0) if <=10,0x02d4,3,0x0000bb7c,v34 handshake/modulate loop
JT0_MAIN_STATE,b4f4,0x0000b4f4,*(ctx+0x0) if <=10,0x02d4,4,0x0000b9f7,qc verification path
JT0_MAIN_STATE,b4f4,0x0000b4f4,*(ctx+0x0) if <=10,0x02d4,5,0x0000b90d,state->0x0c setup path
JT0_MAIN_STATE,b4f4,0x0000b4f4,*(ctx+0x0) if <=10,0x02d4,6,0x0000b769,state->0x0e watchdog path
JT0_MAIN_STATE,b4f4,0x0000b4f4,*(ctx+0x0) if <=10,0x02d4,7,0x0000b7a5,state->0x0d/tone path
JT0_MAIN_STATE,b4f4,0x0000b4f4,*(ctx+0x0) if <=10,0x02d4,8,0x0000be47,state->0x0f buffering path
JT0_MAIN_STATE,b4f4,0x0000b4f4,*(ctx+0x0) if <=10,0x02d4,9,0x0000be00,state->0x0f alt path
JT0_MAIN_STATE,b4f4,0x0000b4f4,*(ctx+0x0) if <=10,0x02d4,10,0x0000bdb8,state->0x10 path
JT1_RUNPCM_RET,bc39,0x0000bc39,runPcmModem() return <=8,0x0300,0,0x0000c55a,force state 0x2 and emit fallback samples
JT1_RUNPCM_RET,bc39,0x0000bc39,runPcmModem() return <=8,0x0300,1,0x0000cc44,state->3
JT1_RUNPCM_RET,bc39,0x0000bc39,runPcmModem() return <=8,0x0300,2,0x0000cc7e,state->4 or ->5 depending flags
JT1_RUNPCM_RET,bc39,0x0000bc39,runPcmModem() return <=8,0x0300,3,0x0000cc53,state->5 with phase bits primed
JT1_RUNPCM_RET,bc39,0x0000bc39,runPcmModem() return <=8,0x0300,4,0x0000ce40,state->0xb + reset counter
JT1_RUNPCM_RET,bc39,0x0000bc39,runPcmModem() return <=8,0x0300,5,0x0000ce2b,retrain reason 0x5c
JT1_RUNPCM_RET,bc39,0x0000bc39,runPcmModem() return <=8,0x0300,6,0x0000ce16,retrain reason 0x5a
JT1_RUNPCM_RET,bc39,0x0000bc39,runPcmModem() return <=8,0x0300,7,0x0000cdf9,retrain reason 0x22
JT1_RUNPCM_RET,bc39,0x0000bc39,runPcmModem() return <=8,0x0300,8,0x0000ce8a,state->0xa, aux->0x10
JT2_K56_RET,c0f3,0x0000c0f3,k56FlexRunDemodulator() return <=6,0x0324,0,0x0000c4b2,state->2
JT2_K56_RET,c0f3,0x0000c0f3,k56FlexRunDemodulator() return <=6,0x0324,1,0x0000ce64,state->3
JT2_K56_RET,c0f3,0x0000c0f3,k56FlexRunDemodulator() return <=6,0x0324,2,0x0000c8cc,state->5 with setup
JT2_K56_RET,c0f3,0x0000c0f3,k56FlexRunDemodulator() return <=6,0x0324,3,0x0000c8c1,state->5 alt setup
JT2_K56_RET,c0f3,0x0000c0f3,k56FlexRunDemodulator() return <=6,0x0324,4,0x0000cde4,retrain reason 0x38
JT2_K56_RET,c0f3,0x0000c0f3,k56FlexRunDemodulator() return <=6,0x0324,5,0x0000cdc7,retrain reason 0x22
JT2_K56_RET,c0f3,0x0000c0f3,k56FlexRunDemodulator() return <=6,0x0324,6,0x0000cae2,state->0xa, aux->0x10
JT3_STATE_POST,c24b,0x0000c24b,current state <=0x10,0x0340,0,0x0000b53f,return path
JT3_STATE_POST,c24b,0x0000c24b,current state <=0x10,0x0340,1,0x0000c360,phase3/phase4 watchdog path
JT3_STATE_POST,c24b,0x0000c24b,current state <=0x10,0x0340,2,0x0000c2d2,state ramp path
JT3_STATE_POST,c24b,0x0000c24b,current state <=0x10,0x0340,13,0x0000c481,retrain-delay selector dispatch
