layer,state_hex,evidence_addresses,count
control,R0_ENTRY,0xa130|0xa165,2
control,R1_DBG_LOG,0xa226|0xa238|0xa23d,3
control,R2_BASE_INIT,0xa16b|0xa176|0xa1a9,3
control,R3_PREINIT,0xa1b2|0xa1d8,2
control,R4_FMT_89B0,0xa1da|0xa1df,2
control,R5_FMT_8990,0xa218|0xa21d,2
control,R6_TIMING_RET,0xa1e6|0xa1f2|0xa1fe|0xa217,4
param,phase_and_symbol_reset,0xa176|0xa189|0xa190|0xa1a3,4
param,control_word,0xa197|0xa19d|0xa1a9,3
param,top_state_fields,0xa1c4|0xa1cb|0xa1d2,3
param,format_and_timing,0xa1df|0xa21d|0xa1f2|0xa1f8|0xa1fe,5
call,preinitdigital,0xa1b5,1
call,debug_printf,0xa238,1
