layer,state_hex,evidence_addresses,count
control,M0_ENTRY,0x9250|0x9266,2
control,M1_PHASE_GATE,0x926c|0x9274,2
control,M2_MP_ASSEMBLE,0x927a|0x92c8|0x9319,3
control,M3_BIT0_INIT_A,0x95b8|0x95ca,2
control,M4_DEBUG_CHAIN,0x94cb|0x95b3,2
control,M5_BIT0_INIT_B,0x9333|0x94b4,2
control,M6_RENEG_BASE,0x933c|0x9369,2
control,M7_RATE_SELECT,0x9396|0x93c1|0x9461,3
control,M8_RATE_ENCODE,0x93d0|0x941c|0x9431,3
control,M9_FINALIZE,0x9461|0x94a5|0x94b3,3
param,mp_word_and_payload,0x92c8|0x92cf|0x9319,3
param,reneg_fields,0x934d|0x935a|0x946a|0x94a5,4
call,init_and_encode,0x93ec|0x94c2|0x95c6,3
call,debug_prints,0x93b7|0x9451|0x94db|0x95af,4
