plane,from_state,via_target,to_state,evidence_addr,confidence,notes,source
control,START,entry,B0_ENTRY_BITS,0x5ecb0,H,function entry,setfinalrate_state_graph_edges.csv
control,B0_ENTRY_BITS,fallthrough,B1_TX_RATE_SELECT,0x5ed47,H,decode done,setfinalrate_state_graph_edges.csv
control,B1_TX_RATE_SELECT,fallthrough,B2_RX_RATE_SELECT,0x5edb1,H,tx selected,setfinalrate_state_graph_edges.csv
control,B2_RX_RATE_SELECT,fallthrough,B3_SCALE_POINTERS,0x5eea0,H,rx selected,setfinalrate_state_graph_edges.csv
control,B3_SCALE_POINTERS,fallthrough,B4_DEBUG_RETURN,0x5ee38,H,pointers done,setfinalrate_state_graph_edges.csv
control,B4_DEBUG_RETURN,ret,RET,0x5f038,H,return,setfinalrate_state_graph_edges.csv
param,ctx+0xa9de_a9e0_a9e2,write,raw_codes,0x5ece3|0x5ed6e,H,decode inputs,setfinalrate_state_graph_param_edges.csv
call,B0_ENTRY_BITS,write,bitreverse_calls,0x5ece3|0x5ed08|0x5ed6e,H,bit normalization,setfinalrate_state_graph_param_edges.csv
param,ctx+0xaa84_aa90_aa94,write,final_rates,0x5ed47|0x5edb1,H,resolved rates,setfinalrate_state_graph_param_edges.csv
param,ctx+0xaa96_aab0,write,rate_pointers,0x5eea0|0x5ef17,H,pointer slots,setfinalrate_state_graph_param_edges.csv
return,B4_DEBUG_RETURN,write,eax_status,0x5f038,H,return,setfinalrate_state_graph_param_edges.csv
