layer,state_hex,evidence_addresses,count
micro,0x29,0x64db3|0x65898|0x65f60|0x66211|0x66686|0x67eac|0x68c67|0x6ad1f|0x6bcde|0x6bedb|0x6c099|0x6c21f|0x6c5d7|0x6cd93|0x6d8c8|0x6df89|0x6e713|0x6ebb4|0x6fac8|0x7018b|0x705e1|0x70bac|0x70ef0,23
micro,0x2c,0x6c887|0x712f8,2
micro,0x2e,0x694a1|0x6dbe3|0x6e99a,3
micro,0x2f,0x66b35,1
micro,0x30,0x698e9,1
micro,0x31,0x6b58a|0x6e8a5,2
micro,0x32,0x6c6c8,1
micro,0x33,0x668ad|0x6b700|0x6ca5f,3
micro,0x34,0x62d2b,1
micro,0x37,0x6c378,1
micro,0x38,0x65cc1,1
micro,0x3a,0x6de4c|0x6e0d1|0x6ea2c,3
micro,0x3b,0x65bf3,1
micro,0x3e,0x65282,1
micro,0x3f,0x6b372|0x6b94e|0x6d476|0x6ee6b|0x6f743,5
micro,0x4f,0x66bd9,1
micro,0x50,0x6d65f|0x6ecce,2
rx,0x23,0x64e41|0x64fc4|0x650a7|0x65a9b|0x67ff2|0x689c9|0x68a57|0x68f0f|0x6c96b|0x6d08d|0x6edd9,11
rx,0x2b,0x651e2|0x66c09|0x67e44|0x6952f|0x6991d|0x6b2d7|0x6be4d|0x6ca27|0x6e163|0x6e685|0x6eb1b,11
rx,0x35,0x6b813,1
rx,0x4,0x64bfd|0x6ef6c,2
rx,0x48,0x66456|0x667f2,2
