from_state,dispatch_target,to_state,evidence_addr,confidence,notes
0x12,0x64048,0x13,0x66d39,H,End of S/Sbar-A burst transitions to S/Sbar-B
0x14,0x642bf,0x15,0x68148,H,PP complete -> J
0x15,0x64339,0x40,0x64b52,H,J interval reached -> J-bar
0x15,0x64339,0x4e,0x64e08,H,V.90 JA branch
0x15,0x64339,0x55,0x67fb9,H,K56 JA branch
0x42,0x62e28,0x43,0x634de,H,MP setup -> MP_BITS
0x43,0x6399b,0x45,0x648ec,H,MP bits complete -> E
0x45,0x63858,0x46,0x66e38,H,E complete -> DATA
0x56,0x63dae,0x12,0x63f3b,H,MD complete -> S/Sbar-A
0x41,0x62d83,0x12,0x62dfe,H,Drop-wait -> S/Sbar-A
0x40,0x635cc,0x41,0x66cfe,H,J/J1 -> drop-wait
0x44,0x635cc,0x42,0x6722f,M,J1 forced branch -> MP
0x36,0x640b4,0x18,0x65850,H,INFO preamble -> INFO
0x4a,0x640b4,0x3c,0x66c2b,H,Silence retrain -> HOLD
0x13,0x6296d,0x14,0x683a6,M,SSbar-B normal branch -> PP
0x13,0x6296d,0x56,0x6787e,M,SSbar-B MD branch
0x13,0x6296d,0x42,0x6722f,M,SSbar-B alternate branch -> MP
0x18,0x62b96,0x3c,0x6550e,H,INFO EOM non-MOH -> HOLD
0x18,0x62b96,0x51,0x68a23,M,INFO MOH branch -> MOH silence
0x51,0x63d58,0x52,0x66de5,M,MOH wait branch
0x51,0x63d58,0x53,0x68b06,M,MOH cleardown branch
0x52/0x53/...,0x63d58,0x54,0x64f36|0x65073,H,MOH disconnect/timeout
0x3c,0x62d3d,0x05,0x695bd,M,HOLD exit path phase1-call
0x3c,0x62d3d,0x12,0x68f43,M,HOLD restart path
0x33,0x62c69,0x18,0x6b9dc,M,Probe path recovery to INFO
