layer,state_hex,evidence_addresses,count
control,B0_PROLOGUE_NORMALIZE,0x5fab0|0x5fb61,2
control,B1_MODE_DISPATCH,0x5fb61|0x5fb71,2
control,B2_CASE4_MOH_INIT,0x5fb82|0x5fcf4,2
control,B3_CASE23_RETRAIN_INIT,0x5fd40|0x5fea4,2
control,B4_CASE1_GUARDED_REINIT,0x5fed0|0x5ff8a,2
control,B5_CASE0_TIMING_REINIT,0x5ff90|0x6005b,2
control,B6_COMMON_EPILOGUE,0x5fd10|0x5fd3a,2
param,timing_and_flags,0x5faec|0x5fb1d|0x5fb31|0x5fb54,4
param,state_triplet,0x5fbb9|0x5fd5a|0x5ffba,3
param,descriptor_and_message,0x5fc1d|0x5fdb2|0x6001f,3
call,core_calls,0x5fb8c|0x5fe7e|0x5ff9b|0x5fcef,4
