layer,state_hex,evidence_addresses,count
control,B0_PROLOG_SETUP,0x77210|0x77221,2
control,B1_GEN_1SAMPLE,0x77230|0x7725e|0x7726f|0x77285|0x7729a|0x772a7|0x772b8|0x772bd,8
control,B2_LOOP_CTRL,0x772c0|0x772cd,2
control,B3_TOGGLE_ENABLE_CHECK,0x772d3|0x772d8,2
control,B4_COUNTER_ADVANCE,0x772da|0x772e3|0x772e5,3
control,B5_RETURN_NORMAL,0x772e9|0x772f0,2
control,B6_ROLLOVER_TOGGLE,0x772f1|0x772fd,2
control,B7_RETURN_TOGGLED,0x77301|0x77308,2
param,ctx+0xda4,0x77246,1
param,ctx+0xda6,0x77251,1
param,ctx+0xdae,0x772de|0x772f5,2
param,ctx+0xdac,0x772fd,1
param,out_ptr,0x772bd,1
call,v8_cosread,0x7725e|0x7729a,2
call,v8_mpyint,0x7726f|0x77285|0x772a7,3
call,v8_fsktxfilter,0x772b8,1
