layer,state_hex,evidence_addresses,count
control,B0_STAGE4,0x78ca3|0x78cc9,2
control,B1_GATE12,0x78ccf|0x78cd4,2
control,B2_SYM_LOOP_HEAD,0x78cf4|0x78d05|0x78e9e,3
control,B3_CORR_A,0x78d72|0x78dbe,2
control,B4_CORR_B,0x78dd0|0x78e1b,2
control,B5_DECIDE,0x78e1d|0x78e69|0x78e74|0x78e6e,4
control,B6_RESET_LOW_ENERGY,0x78e7f|0x78e85|0x78e8d,3
control,B7_PATH_A_C32,0x78fa9|0x7902f|0x79035,3
control,B8_PATH_B_C30,0x79047|0x790c1|0x790c7,3
control,B9_FRAME_FLUSH,0x78ea4|0x78ef4|0x78f46,3
control,B10_SHIFT_WINDOWS,0x78f65|0x78f94,2
control,B11_RETURN,0x78fa1|0x78cd6,2
counter,dec,0x78e85|0x79025|0x790c1,3
counter,df0,0x78e8d|0x78eb8|0x7902f,3
bitout,c30_source(+0xc30),0x78ed3|0x7909c,2
bitout,c32_source(+0xc32),0x78f23|0x78ffe,2
bitout,shiftreg(+0xc3a),0x78ef0|0x78f42|0x7901b|0x790b9,4
bitout,bitcount(+0xc38),0x78eec|0x78f3e|0x79017|0x790b5,4
