layer,state_hex,evidence_addresses,count
control,B0_ENTRY_BITSLEFT,0x754b0|0x754c7|0x754ce,3
control,B1_REMAIN_CALC,0x754d4|0x754e1|0x754e9|0x754f6,4
control,B2_REFILL_PARTIAL,0x754fc|0x75519|0x75521,3
control,B3_REFILL_FULL,0x755a0|0x755b5|0x755ce,3
control,B4_CRC_UPDATE,0x75524|0x75540|0x75567,3
control,B5_EMIT_BIT,0x75571|0x75574|0x75580,3
control,B6_TERM_DISPATCH,0x755d6|0x755da|0x755e1,3
control,B7_TERM_MINUS16,0x75624|0x7562a|0x7564c,3
control,B8_TERM_CRC_TRAILER,0x75651|0x7566d,2
control,B9_RELOAD_RECURSE,0x755ed|0x75605|0x75619,3
control,B10_ERROR_RET,0x755e1|0x755eb,2
param,bitstream_core,0x754c7|0x75521|0x7557a|0x75580,4
param,range_and_cursor,0x754d4|0x754ef|0x75501|0x755be,4
param,crc_and_terminal,0x75524|0x75567|0x75651|0x7562a,4
param,reload_paths,0x755e1|0x755f7|0x75612|0x75619,4
call,recursive_call,0x75619,1
