layer,state_hex,evidence_addresses,count
control,T0_ENTRY_LOOP_GATE,0x78650|0x78663|0x78666,3
control,T1_STAGE_A,0x78670|0x78680|0x786f2,3
control,T2_STAGE_B,0x78710|0x78725|0x7876e,3
control,T3_STAGE_C_ENV,0x7877a|0x7878b|0x787f7,3
control,T4_LOOP_BACKCHECK,0x787fb|0x78806,2
control,T5_MODE_A,0x7880c|0x78817|0x78832,3
control,T6_MODE_B,0x7884d|0x78854|0x78867,3
control,T7_BOOTSTRAP,0x78869|0x78879|0x788a1,3
control,T8_RETURN,0x78843|0x7884c,2
param,stage_histories,0x7867b|0x786e1|0x78768|0x787c5,4
param,envelope_and_thresholds,0x787f7|0x78817|0x78826|0x7886e,4
param,counters_and_modes,0x7881d|0x78830|0x78870|0x78895,4
call,math_kernels,0x78695|0x786b9|0x78725|0x78740|0x7878b|0x787a6|0x787f0|0x787d8,8
