layer,state_hex,evidence_addresses,count
control,P0_ENTRY_FLAGS,0x9be0|0x9c16|0x9c1c,3
control,P1_JA_PHASE,0x9ce0|0x9d04|0x9d2e|0x9d48,4
control,P2_FLAG10_GATE,0x9c1c|0x9c20,2
control,P3_ZERO_WARMUP,0x9c86|0x9ca7|0x9cb3,3
control,P4_STATE_DISPATCH,0x9c20|0x9c68,2
control,P5_STATE3,0x9d92|0x9dd4|0x9de7,3
control,P6_STATE4,0x9df7|0x9e3a|0x9e45,3
control,P7_STATE5,0x9d50|0xa01d|0xa09d,3
control,P8_STATE6,0x9ee5|0x9f27|0x9f32,3
control,P9_STATE7,0x9e4d|0x9e90|0x9e9b,3
control,P10_STATE8,0x9f3d|0x9f7c|0x9f87,3
control,P11_STATE9,0x9ec0|0xa087|0x9edc,3
control,P12_STATE10,0x9fa3|0x9fe2|0xa012,3
control,P13_COUNTER_STORE,0x9cbc,1
control,P14_RET0,0x9c70|0x9c85,2
param,flags_phase_counter,0x9c09|0x9c20|0x9cbc|0x9eae,4
param,symbol_gen_fields,0xa048|0xa07c|0xa0c3,3
param,tx_state_marker,0xa006|0x9ff7,2
call,flo_bit_sources,0x9cee|0x9f4b|0x9fb1,3
call,transmit_primitives,0x9c9c|0x9d04|0x9edc|0xa094|0xa10d|0xa125,6
call,scrambler_and_completion,0xa044|0xa066|0xa0bf|0x9fea|0x9ff3,5
