layer,from_state,to_state,evidence_addr,confidence,notes
param,ctx+0x386,flags_read_write,0x9c09|0x9d17|0x9cb3,H,uses bits 0x400 and 0x10
param,ctx+0x24c,phase_state_rw,0x9c20|0x9dec|0x9e45|0x9f32|0x9f87|0xa012,H,main TX phase state variable
param,ctx+0x25c8,symbol_dibit_word,0x9ce3|0x9f40|0x9fa6,H,JA/CP bit extraction destination
param,ctx+0x25cc,scrambler_state,0xa03c|0xa062|0xa0bb,H,state5 scrambler context
param,ctx+0x25ca,scrambler_aux_reset,0x9ea7,H,state transitions reset word fields
param,ctx+0x3a4,symbol_counter,0x9cbc|0x9eae,H,symbol count update/reset
param,ctx+0x3ac,current_symbol,0xa048|0xa0c3,H,current dibit/quadbit source
param,ctx+0x3b0,mapped_symbol_word,0x9eae|0xa07c,H,mapped TX word/reset
param,ctx+0xabfe,tx_back_clear_flag,0x9d41,H,set when control byte enables backward clear
param,ctx+0x3596,tx_state_0x45,0xa006,H,forced on state10 completion
call,flo,getV90JaBits,0x9cee,H,JA bits retrieval
call,flo,getV90CpBits,0x9f4b|0x9fb1,H,CP bits retrieval
call,ctx,txmit,0x9c9c|0x9d81|0x9da1|0x9dc4|0x9e07|0x9e2a|0x9e5d|0x9e80|0x9ef4|0x9f17,H,symbol transmit primitive
call,ctx,txmitdibit,0x9d04|0x9edc|0x9f72|0x9fd8,H,dibit transmitter
call,ctx,txmitquadbit,0xa094|0xa10d|0xa125,H,quadbit transmitter
call,scrambler,V34scrambler,0xa044|0xa066|0xa0bf,H,state5 symbol generation
call,ctx,getMPrecvdBits,0x9fea,H,state10 completion helper
call,ctx,initdigital,0x9ff3,H,state10 completion helper
