layer,state_hex,evidence_addresses,count
control,R0_ENTRY_DISPATCH,0x95d0|0x9602|0x962a,3
control,R1_STATE11_MARKER,0x9646|0x9661|0x9666,3
control,R2_STATE12_CP_TX,0x968b|0x9698|0x96ca|0x96dd,4
control,R3_STATE11_QUAD,0x9708|0x9714,2
control,R4_STATE0F_PAIR,0x9720|0x975e|0x9768,3
control,R5_STATE13_NON89B0,0x9780|0x97b0|0x97c4,3
control,R6_STATE10_PAIR,0x9805|0x9843|0x984d,3
control,R7_STATE14_CP_FINAL,0x9877|0x9895|0x98c7|0x98cf,4
control,R8_STATE13_89B0,0x9902|0x9928|0x994a|0x995a,4
control,R12_RET0,0x9630|0x9645,2
param,phase_and_counters,0x95f6|0x9666|0x9734|0x9819|0x98f7,5
param,tx_symbol_fields,0x97b5|0x97ea|0x986c|0x995a,4
param,tx_control_fields,0x96e8|0x96ff|0x9877|0x98dc,4
call,cp_and_scrambler,0x9698|0x9895|0x97b0|0x9928|0x994a,5
call,tx_emit_calls,0x9661|0x9714|0x96bf|0x9974|0x98bc|0x998c|0x972f|0x9751,8
call,completion_and_debug,0x98cf|0x98d7|0x999d,3
