layer,state_hex,evidence_addresses,count
control,G0_ENTRY_DISPATCH,0x99b0|0x99e2|0x99fc,3
control,G1_STATE0D_MARKER,0x9a14|0x9a2f|0x9a34,3
control,G2_STATE0E_CP_FINAL,0x9a59|0x9a66|0x9a98|0x9aa0,4
control,G3_STATE0D_QUAD,0x9ad3|0x9ae0,2
control,G4_STATE0B_PAIR,0x9af0|0x9b2e|0x9b38,3
control,G5_STATE0C_PAIR,0x9b50|0x9b8f|0x9b99,3
control,G7_RET0,0x99fe|0x9a13,2
param,phase_and_counters,0x99d6|0x9a34|0x9b04|0x9b64|0x9ac8,5
param,tx_symbol_fields,0x9a7f|0x9baa|0x9bb8,3
param,tx_state_marker,0x9aad|0x9abc,2
call,cp_and_completion,0x9a66|0x9aa0|0x9aa8,3
call,tx_emit_calls,0x9a2f|0x9ae0|0x9a8d|0x9bd1|0x9aff|0x9b21|0x9b5f|0x9b82,8
