layer,state_hex,evidence_addresses,count
control,B0_VALIDATE,0x3a00|0x3a22|0x3a2f,3
control,B1_DBG_CREATE,0x3c90|0x3cb5,2
control,B2_FRAG_ALLOC,0x3a37|0x3a42|0x3a54,3
control,B3_INIT_BASE,0x3a5a|0x3abf|0x3ad2,3
control,B4_CREATE_XF,0x3ae7|0x3afe|0x3b0a,3
control,B5_CREATE_K56,0x3b10|0x3b27|0x3b33,3
control,B6_RATE_LIMITS,0x3b39|0x3b6c|0x3b7a,3
control,B7_DBG_RATE,0x3d22|0x3d32,2
control,B8_FLAGS_MODE,0x3b80|0x3ba4|0x3bbf|0x3bdf,4
control,B9_DELAY_ADJUST,0x3be5|0x3bfd|0x3c03,3
control,B10_DELAY_NEG,0x3d6f|0x3d84|0x3d98,3
control,B11_DBG_DELAY,0x3d00|0x3d16,2
control,B12_SESSION_TYPE,0x3c27|0x3c45|0x3c4c,3
control,B13_DBG_SESSION,0x3ce0|0x3cf4,2
control,B14_CREATE_V34,0x3c52|0x3c71|0x3c79,3
control,B15_RET_SUCCESS,0x3c77|0x3c88,2
control,B16_CLEANUP_XF,0x3cbe|0x3cc8,2
control,B17_CLEANUP_BOTH,0x3da8|0x3db2|0x3dc0,3
control,B18_FREE_RET_NULL,0x3ccc|0x3cdf,2
control,B19_RET_NULL,0x3c7f|0x3c88,2
param,ctx_core,0x3a76|0x3a90|0x3a93|0x3a99|0x3a9c|0x3aa3|0x3aaa|0x3abf|0x3acf,9
param,dp_runtime,0x3ad2|0x3b8a|0x3b8d|0x3b90|0x3b97|0x3bb4|0x3bbf|0x3c0c|0x3c1e|0x3c2c,10
param,handles,0x3b02|0x3b2b,2
param,delay_fields,0x3d98|0x3c03|0x3c09,3
call,creators,0x3afe|0x3b27|0x3c71,3
call,destructors,0x3cc8|0x3db2|0x3dc0|0x3cd0,4
