layer,state_hex,evidence_addresses,count
control,R0_SETUP_ALIGN,0x3e40|0x3e82|0x4187,3
control,R1_APPEND_PENDING,0x3e84|0x3ea8,2
control,R2_WORK_GATE,0x3eb6|0x3eb8,2
control,R3_PRESILENCE_CHECK,0x3ed2|0x3ee4,2
control,R4_PRESILENCE_FILL,0x3eea|0x3f13|0x4261,3
control,R5_PROGRESS_PIPELINE,0x3fb7|0x405b|0x4079|0x4153,4
control,R6_STATE_GATE,0x4157|0x415e,2
control,R7_STATE_SWITCH,0x4171|0x4180,2
control,R8_CASE_CONNECTED,0x43e1|0x4469,2
control,R9_TRANSITION_COMMIT,0x4210|0x4236|0x424e,3
control,R10_IDLE_TIMEOUT,0x4268|0x4295,2
control,R11_QUEUE_REPACK,0x3f19|0x3fa8,2
control,R12_RETURN,0x3faf|0x3fb6,2
param,queue_counts,0x3e68|0x3f63|0x3fac,3
param,state_fields,0x421b|0x4236|0x4273,3
param,presilence,0x3ed5|0x3f13|0x4261,3
param,delay_adjust,0x41a2|0x4333|0x41dc|0x4369,4
call,core_dsp,0x405b|0x4079,2
call,bit_io,0x3fea|0x4153,2
call,session_query,0x43e9|0x43f7|0x4407,3
