from_state,dispatch_target,to_state,evidence_addr,confidence,notes
START,entry,R0_SETUP_ALIGN,0x3e40,H,function entry
R0_SETUP_ALIGN,fallthrough,R1_APPEND_PENDING,0x3e84,H,queue alignment complete
R1_APPEND_PENDING,fallthrough,R2_WORK_GATE,0x3eb6,H,pending append complete
R2_WORK_GATE,jle_3f19,R11_QUEUE_REPACK,0x3eb8,H,no processable samples
R2_WORK_GATE,fallthrough,R3_PRESILENCE_CHECK,0x3eba,H,processable samples exist
R3_PRESILENCE_CHECK,jle_3fb7,R5_PROGRESS_PIPELINE,0x3ee4,H,no pre-silence remaining
R3_PRESILENCE_CHECK,fallthrough,R4_PRESILENCE_FILL,0x3eea,H,pre-silence active
R4_PRESILENCE_FILL,fallthrough,R11_QUEUE_REPACK,0x3f19,H,after zero-fill
R5_PROGRESS_PIPELINE,fallthrough,R6_STATE_GATE,0x4157,H,progress path complete
R6_STATE_GATE,je_4268,R10_IDLE_TIMEOUT,0x415e,H,state unchanged path
R6_STATE_GATE,fallthrough,R7_STATE_SWITCH,0x4164,H,state changed path
R7_STATE_SWITCH,jump_table,R9_TRANSITION_COMMIT,0x4180,H,most cases rejoin
R7_STATE_SWITCH,case_connected,R8_CASE_CONNECTED,0x43e1,H,marker +1 case
R8_CASE_CONNECTED,fallthrough,R9_TRANSITION_COMMIT,0x4469,H,after modem_set_param updates
R10_IDLE_TIMEOUT,fallthrough,R9_TRANSITION_COMMIT,0x4295,H,timeout marker flow
R9_TRANSITION_COMMIT,fallthrough,R11_QUEUE_REPACK,0x424e,H,commit then repack
R11_QUEUE_REPACK,fallthrough,R12_RETURN,0x3faf,H,return path
